basin,stream,season,yr,season.yr,basin.stream,basin.season.yr,basin.stream.season.yr,n,w,elev,aspect,from.north,percent.south,slope,bf,pebble,width,depth,discharge,carbon,ammonia,nitrate,din,phosphate,canopy,par.integrative,par.mean,par.max,temp.max,temp.min,temp.mean,k600,gpp,er,pr.ratio,cut.capt,cut.pop,cut.pop.se,cut.mass,cut.mass.se,cut.mass.m,sculp.mass.m
swauk,blue,sum,17,1st Summer '17,swauk.blue,swauk.sum.17,swauk.blue.sum.17,47.296801,120.705743,869,120,120,66.7,3,5.2,35.5,0.9,0.048,9,4.99,-0.0144229,0.0058888,0.0098538,0.0149465,32.6,1.1243815,3904.1,21381.2,12.32,10.58,11.53,28.01,0.04440763,-1.767086,0.025130429,0.52,15,0.48,28.54,1.542,3.01,0
taneum,first,sum,17,1st Summer '17,taneum.first,taneum.sum.17,taneum.first.sum.17,47.114618,120.946155,880,155,155,86.1,5,5.07,42,0.37,0.06,0.3,3.31,-0.0160324,0.011325,0.0136805,0.0433362,22.1,1.3582056,4716,48044.7,12.56,10.76,11.74,26.92,0.01796985,-1.740434,0.010324925,1,1,0,7,0,0.28,0.12
taneum,frost,sum,17,1st Summer '17,taneum.frost,taneum.sum.17,taneum.frost.sum.17,47.102939,120.950163,904,328,32,17.8,10,12.74,60,0.38,0.073,7,6.62,-0.0155774,0.0038642,0.0066747,0.0336418,4.9,0.9868906,3426.7,25937.3,14.03,10.2,11.64,32.47,0.01130455,-2.898826,0.003899699,0.92,13.1,0.33,3.58,0.209,1.87,0.27
swauk,hovey,sum,17,1st Summer '17,swauk.hovey,swauk.sum.17,swauk.hovey.sum.17,47.318852,120.695241,905,108,108,60,6,3.44,62,0.9,0.07,4.4,4.09,-0.015206,0.0034228,0.0066047,0.0167959,26.8,1.6185798,5620.1,25350,11.85,10.5,11.22,46,0.1431677,-5.00809,0.028587286,0.77,16.9,1.23,6.17,0.857,4.17,0
swauk,hurley,sum,17,1st Summer '17,swauk.hurley,swauk.sum.17,swauk.hurley.sum.17,47.321212,120.674011,932,302,58,32.2,3,3.32,66,0.6,0.046,0.3,4.07,-0.0160625,0.013385,0.0157104,0.016076,40.1,3.5253744,12240.9,102800,12.29,8.72,10.53,23.08,0.00947107,-1.379843,0.006863875,0.57,24.5,3.71,5.13,0.419,5.03,0
swauk,iron,sum,17,1st Summer '17,swauk.iron,swauk.sum.17,swauk.iron.sum.17,47.336689,120.693441,950,139,139,77.2,2,5.16,43.5,2,0.102,9.8,3.92,-0.0171266,0.0031448,0.0044061,0.0083334,6.8,0.4594512,1595.3,12166.7,10.52,8.04,9.15,31,0.04020643,-3.597371,0.011176615,0.88,19.3,0.59,6.08,1.255,4.68,0
teanaway,jack,sum,17,1st Summer '17,teanaway.jack,teanaway.sum.17,teanaway.jack.sum.17,47.3475,120.782771,954,225,135,75,3,3.62,68.5,1.9,0.094,5.2,4.82,-0.016948,0.0030031,0.004443,0.0104461,50.8,0.6796484,2359.9,10136.4,12.61,8.72,10.41,34,0.1194072,-3.735413,0.031966265,1,3,0,31.23,6.161,3.75,2.6
teanaway,miller,sum,17,1st Summer '17,teanaway.miller,teanaway.sum.17,teanaway.miller.sum.17,47.368323,120.78448,981,170,170,94.4,5,6.08,55,1.7,0.1,49.5,1.84,-0.0144906,0.0098045,0.0137018,0.0057554,15.9,0.507454,1762,10470.8,12.76,9.84,11.05,88,0.03260025,-8.170343,0.003990071,0.67,9,1.5,15.51,4.571,5.58,2.48
teanaway,standup,sum,17,1st Summer '17,teanaway.standup,teanaway.sum.17,teanaway.standup.sum.17,47.356182,120.836047,871,152,152,84.4,8,4.42,92,2.2,0.13,44.7,1.69,-0.0155181,0.0049569,0.0078267,0.0062148,46.9,2.0117093,6985.1,40000,14.72,10.86,12.49,39.48,0.06782396,-5.382517,0.012600789,0.5,4,2,17.33,9.035,1.98,5.98
swauk,swauk,sum,17,1st Summer '17,swauk.swauk,swauk.sum.17,swauk.swauk.sum.17,47.331107,120.614636,1071,289,71,39.4,4,4.82,39,2,0.12,23.8,3.39,-0.0122278,0.2497129,0.255873,0.0399653,29.2,2.0638441,7166.1,102695.6,12.28,8.88,10.73,37.88,0.00575167,-4.91794,0.001169528,0.85,30.7,1.01,7.01,1.184,8.62,0
swauk,blue,sum,18,3rd Summer '18,swauk.blue,swauk.sum.18,swauk.blue.sum.18,47.296801,120.705743,869,120,120,66.7,3,5.2,35.5,1,0.054,12.2,0.51,-0.0097535,0.0085515,0.0171859,0.0206144,23.4,1.6454489,5713.4,60478.2,11.41,7.51,9.66,57.26,0.00554999,-3.398502,0.00163307,0.56,16.2,3.22,10.9,3.449,7.06,0.12
taneum,first,sum,18,3rd Summer '18,taneum.first,taneum.sum.18,taneum.first.sum.18,47.114618,120.946155,880,155,155,86.1,5,5.07,42,0.45,0.04,1.2,8.16,-0.0103038,0.0085704,0.0166545,0.0609673,22.4,1.0669254,3704.6,50673.9,11.08,9.22,10.19,NA,NA,NA,NA,0,0,0,0,0,0,0.05
taneum,frost,sum,18,3rd Summer '18,taneum.frost,taneum.sum.18,taneum.frost.sum.18,47.102939,120.950163,904,328,32,17.8,10,12.74,60,1.2,0.072,9.6,13.27,-0.0109255,0.0082679,0.0157303,0.0419804,26,2.2312729,7747.5,68241.7,13.58,8.91,10.89,33,0.00883752,-2.419564,0.003652526,1,8,0,4.34,0.822,1.39,1.64
